name,amount,category
Praxis - camera,-37.99,House & Garden_Fitment
Loogman Carwash BV,-14.00,Transport_Car
F.W. Bouten via ASN Bank Betaalverzoek wims gift,-11.00,Shopping_Gifts
OHRA Schadeverzekeringen,-22.11,Home_Insurance & Fees
Vattenfall Klantenservice N.V.,-117.00,Home_Utilities
DIRECTLEASE BV,-505.99,Transport_Car
VVE Aquarel 2,-177.59,Home_Services
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
Albert Heijn 8591 - paracetamol,-6.99,Wellbeing & Beauty_Care & Pharmacy
Picnic - Taste of Asia Market,-9.07,Leisure_Outings
SAFFRAAN MINIMARKET,-4.68,Food & Drinks_Groceries
Picnic - Action 1194,-6.66,Leisure_Outings
Picnic - DIRK VDBROEK FIL8533,-20.42,Leisure_Outings
Robin en Kees AGF - picnic,-22.02,Leisure_Outings
bol.com b.v.,-11.99,Shopping_Clothes & Accessories
Creditcard,-79.93,House & Garden_Repairs
Creditcard,-5.12,Transport_Parking
Creditcard,-71.13,Transport_Car
Creditcard,-13.90,Leisure_Outings
FLORIUS,-1778.13,Home_Mortgage
BUDGET ENERGIE,-60.00,Home_Utilities
Smyths Toys EU HQ jashu bday,-27.94,Shopping_Gifts
CCV*DE NIEUWE BIBLIOTH,-1.50,Family_Allowance
CCV*AMSTERDAM RAI BV,-6.00,Transport_Parking
ETOS 7763,-4.59,Wellbeing & Beauty_Care & Pharmacy
ETOS 7763,-17.68,Wellbeing & Beauty_Care & Pharmacy
tickets for artis,-30.00,Leisure_Outings
Geldautomaat,-10.00,Others_Withdrawals & Bank charges
Uzma’s driving,-300.00,Family_Other
STICHTING GO,-77.86,Family_Day care
ODIDO NETHERLANDS B.V.,-35.00,Multimedia_Internet
TAF BV,-12.37,Home_Insurance & Fees
Creditcard,-84.33,Food & Drinks_Restaurants
Creditcard,-168.72,Exclude_Exclude
Creditcard,-5.99,Shopping_Clothes & Accessories
AAB INZ TIKKIE,84.33,Exclude_Exclude
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-250.00,Food & Drinks_Groceries
Oranje spaarrekening L98105976,-47.00,Exclude_Exclude
Creditcard,-15.00,House & Garden_Fitment
AAB INZ TIKKIE,84.33,Exclude_Exclude
Groei groter rekening K98100562,-85.00,Exclude_Exclude
De Efteling B.V.,-3.80,Leisure_Outings
Albert Heijn Fr.8642,-18.72,Food & Drinks_Groceries
Little India Amsterdam,-9.86,Food & Drinks_Groceries
Osdorpplein,-4.00,Transport_Parking
C&M*Kismet Amsterdam,-10.00,Food & Drinks_Snacks
Action 1035,-23.65,House & Garden_Fitment
Geldautomaat - artis ticket,-20.00,Leisure_Outings
Geldautomaat - artis ticket,-20.00,Leisure_Outings
Wise Europe SA,-880.47,Finances_Loans
Oranje spaarrekening K58675097,-250.00,Exclude_Exclude
Centrale Salarisadministratie,6444.92,Salary_Salary
DIRK VDBROEK FIL3350,-14.89,Food & Drinks_Groceries
Batavia stad,-4.00,Transport_Parking
Oranje spaarrekening L98105976,28.44,Exclude_Exclude
Groei groter rekening K98100562,7.50,Transfers_Transfers
PAY.nl*Lindt Lelystad,-4.99,Food & Drinks_Snacks
Oranje spaarrekening K58675097,-15.00,Exclude_Exclude
Tanger Almere,-8.56,Food & Drinks_Groceries
Hema EV083,-7.50,Shopping_Clothes & Accessories
Thanveer Ahamed,220.00,Transfers_Transfers
Creditcard,-11.96,Shopping_Clothes & Accessories
De Efteling B.V.,-111.00,Leisure_Outings
De Efteling B.V.,-220.00,Exclude_Exclude
Creditcard,-497.75,House & Garden_Fitment
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
Oranje spaarrekening K58675097,500.00,Exclude_Exclude
Wise Europe SA,-546.80,Exclude_Exclude
Zakat,-537.40,Others_Charity
Oranje spaarrekening V99681971,546.80,Exclude_Exclude
Action 1386,-12.92,House & Garden_Fitment
PRIMARK ALMERE,-46.30,Shopping_Gifts
Chernov - plumber,-90.00,House & Garden_Repairs
AAB INZ TIKKIE,11.96,Exclude_Exclude
Oranje spaarrekening K58675097,-399.00,Exclude_Exclude
AH - plant for Kiran’s dad,-5.79,Shopping_Gifts
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
ETOS 7433,-15.28,Exclude_Exclude
ETOS 7433 - vitamins,-14.48,Wellbeing & Beauty_Care & Pharmacy
CCV*Kwaliteitsvishande,-11.00,Leisure_Outings
AAB INZ TIKKIE,15.28,Exclude_Exclude
RVO.NL,41.66,Reimbursement_Reimbursement
Bouwmaat Nederland B.V.,-66.39,House & Garden_Fitment
VITENS NV,-20.00,Home_Utilities
lidl.nl via Rabo Smart Pay,-12.98,House & Garden_Equipment
Action 1203,-24.28,House & Garden_Equipment
Diversen,-3.65,Others_Withdrawals & Bank charges
CCV*Kartbaan Linnaeush,-7.00,Leisure_Outings
bol.com b.v.,-8.22,Shopping_Clothes & Accessories
Marktplaats via Online Payments Stichting,-38.40,Leisure_Outings
Oranje spaarrekening L98105976,22.13,Exclude_Exclude
Goudse Schadeverzekeringen N.V,-13.66,Transport_Public Transport
Action 1194,-8.14,Shopping_Gifts
BCK*Hebbo,-13.99,Food & Drinks_Restaurants
New Look Almere,-20.00,Wellbeing & Beauty_Beauty
Diversen,-64.20,Transport_Car
BUDGET MOBIEL,-12.00,Multimedia_Telephone
bol.com b.v.,-17.05,Shopping_Clothes & Accessories
Painting office room,-17.84,House & Garden_Equipment
VVE Aquarel 2,-177.59,Home_Utilities
BUDGET MOBIEL,-9.00,Multimedia_Telephone
OHRA Schadeverzekeringen,-22.11,Home_Insurance & Fees
Vattenfall Klantenservice N.V.,-117.00,Home_Utilities
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
FLORIUS,-1778.13,Home_Mortgage
DIRECTLEASE BV,-505.99,Transport_Car
BUDGET ENERGIE,-60.00,Home_Utilities
berlin shopping,-165.16,Shopping_Clothes & Accessories
swadishta berlin,-37.25,Leisure_Outings
Creditcard,-37.25,Exclude_Exclude
Creditcard,-98.54,Leisure_Outings
Nunes Trassante for Rubens,-11.00,Shopping_Gifts
Ruwaad’s bag KAUFLAND ISERNHAGEN 44,-9.99,Shopping_Clothes & Accessories
Caff  e Gelato,-10.30,Food & Drinks_Snacks
TEDI Fil  6514,-8.50,House & Garden_Equipment
TAF BV,-12.37,Home_Insurance & Fees
ODIDO NETHERLANDS B.V.,-35.00,Multimedia_Internet
STICHTING GO,-77.86,Family_Day care
TEDI,-1.50,Food & Drinks_Groceries
Ruwaad glasses,-9.99,Shopping_Clothes & Accessories
ikea for sesank,-70.89,Finances_Loans
Oranje spaarrekening X94446204,1.71,Exclude_Exclude
Groei groter rekening K98100562,-100.00,Exclude_Exclude
Oranje spaarrekening X94446204,0.24,Exclude_Exclude
Oranje spaarrekening L98105976,-93.00,Exclude_Exclude
Revolut Bank UAB,-250.00,Food & Drinks_Groceries
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-100.00,Family_Allowance
Albert Heijn 8642,-1.94,Food & Drinks_Groceries
Wise,-882.68,Finances_Loans
Oranje spaarrekening K58675097,-566.00,Exclude_Exclude
Centrale Salarisadministratie,6441.44,Salary_Salary
Jumbo Almere Buiten,-5.26,Food & Drinks_Groceries
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
Albert Heijn Fr.8642,-4.19,Food & Drinks_Groceries
Albert Heijn Fr.8642,-7.46,Food & Drinks_Groceries
Tanger Almere,-20.74,Food & Drinks_Groceries
VARA SUPERMARKET,-36.50,Food & Drinks_Groceries
Dry fruits,-36.00,Food & Drinks_Groceries
Dry fruits for Sesi,-58.00,Finances_Loans
afghani ice,-6.00,Food & Drinks_Snacks
merry go round ,-3.00,Leisure_Outings
Mandi n lassi,-20.00,Food & Drinks_Restaurants
strawberry n cherry,-8.50,Food & Drinks_Groceries
Geldautomaat,-3.00,Transport_Parking
Geldautomaat,-15.50,Others_Withdrawals & Bank charges
ETOS FR.8491,-5.88,Food & Drinks_Groceries
Oranje spaarrekening K58675097,-1000.00,Exclude_Exclude
Oranje spaarrekening L98105976,36.53,Exclude_Exclude
DIRK VDBROEK FIL3350,-7.25,Food & Drinks_Groceries
Action 1203,-3.00,Food & Drinks_Groceries
SAFFRAAN MINIMARKET,-5.13,Food & Drinks_Groceries
Had to payback Sesank,-19.99,Others_Uncategorised
Groei groter rekening K98100562,28.99,Transfers_Transfers
Creditcard,-28.99,Family_Toys
Creditcard,-18.90,Shopping_Clothes & Accessories
Creditcard,-4.88,Transport_Parking
Thanveer Ahamed,72.50,Transfers_Transfers
Creditcard,-36.97,Shopping_Clothes & Accessories
Groei groter rekening K98100562,36.97,Transfers_Transfers
quick bites Uithoorn,-72.70,Food & Drinks_Restaurants
Creditcard,-72.50,Exclude_Exclude
Albert Heijn Fr.8642,-14.28,Food & Drinks_Groceries
DIRK VDBROEK FIL3350,-9.27,Food & Drinks_Groceries
Oranje spaarrekening K58675097,-399.00,Exclude_Exclude
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
Antakya Bakkerij,-9.50,Food & Drinks_Restaurants
Toychamp Xl,-3.99,Food & Drinks_Groceries
Kwantum Almere,-10.00,Shopping_Gifts
Action 1203,-10.94,Food & Drinks_Groceries
VWE Remarketing via Stichting Mollie Payments,-12.50,Leisure_Outings
Diversen,-3.65,Leisure_Outings
RVO.NL,41.66,Reimbursement_Reimbursement
Cycle for Uzma,-100.00,House & Garden_Fitment
VITENS NV,-20.00,Home_Utilities
NS GROEP IZ NS REIZIGERS,-4.00,Transport_Public Transport
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
BUDGET MOBIEL,-12.50,Multimedia_Telephone
Diversen,-25.00,Transport_Car
Diversen,-7.50,Transport_Parking
BCK*Barada Restaurant,-13.99,Food & Drinks_Restaurants
BUDGET MOBIEL,-9.00,Multimedia_Telephone
Groei groter rekening K98100562,-279.49,Exclude_Exclude
VVE Aquarel 2,-177.59,Home_Utilities
Cycle for Uzma,-100.00,House & Garden_Equipment
Sociale Verzekeringsbank,279.49,Benefits_Benefits
Vattenfall Klantenservice N.V.,-117.00,Home_Utilities
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
OHRA Schadeverzekeringen,-22.11,Home_Insurance & Fees
TMC*GALMKrak625,-4.98,Transport_Parking
Oranje spaarrekening K58675097,-1536.00,Exclude_Exclude
Zehra Khutub birthday ,-8.47,Shopping_Gifts
Thanveer mug,-14.49,Shopping_Clothes & Accessories
Batavia stad,-3.00,Transport_Parking
Vijaya Raghavan via Tikkie,-74.45,Leisure_Outings
BUDGET ENERGIE,-60.00,Home_Utilities
STICHTING GO,-77.86,Family_Day care
FLORIUS,-1778.13,Home_Mortgage
DIRECTLEASE BV,-505.99,Transport_Car
BELASTINGDIENST,1536.00,Reimbursement_Reimbursement
Wise,-2603.01,Finances_Loans
TAF BV,-12.37,Home_Insurance & Fees
Etos 7805,-24.49,Wellbeing & Beauty_Care & Pharmacy
Groei groter rekening K98100562,-100.00,Exclude_Exclude
Light for Euwaad,-44.99,House & Garden_Fitment
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-250.00,Food & Drinks_Groceries
ODIDO NETHERLANDS B.V.,-29.05,Multimedia_Internet
Oranje spaarrekening K58675097,-1000.00,Exclude_Exclude
Oranje spaarrekening K58675097,2603.00,Exclude_Exclude
Albert Heijn Fr.8642,-4.44,Food & Drinks_Groceries
Albert Heijn 8642,-6.32,Food & Drinks_Groceries
ETOS FR.8491,-5.99,Food & Drinks_Groceries
Albert Heijn 8591,-11.19,Food & Drinks_Groceries
Noahs Vleespaleis,-4.00,Food & Drinks_Groceries
Tanger Almere,-25.15,Food & Drinks_Groceries
DIRK VDBROEK FIL3350,-14.81,Food & Drinks_Groceries
Action 1203,-27.38,Food & Drinks_Groceries
Centrale Salarisadministratie,6447.82,Salary_Salary
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
Albert Heijn Fr.8642,-22.82,Food & Drinks_Groceries
GBLT,-457.61,Home_Taxes
Syed Ameer Jan via Tikkie,-29.00,Leisure_Outings
Revolut Bank UAB,-36.53,Food & Drinks_Groceries
Groei groter rekening K98100562,34.00,Transfers_Transfers
Creditcard,-34.00,Shopping_Clothes & Accessories
Creditcard,-3.03,Transport_Parking
Creditcard,-19.05,Food & Drinks_Groceries
Creditcard,-14.42,Transport_Car
Creditcard,-622.40,Leisure_Outings
Oranje spaarrekening K58675097,-399.00,Exclude_Exclude
Oranje spaarrekening K58675097,692.90,Exclude_Exclude
Oranje spaarrekening L98105976,26.37,Exclude_Exclude
IKEA BV,30.00,Transfers_Transfers
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
Action 1203,-7.32,Food & Drinks_Groceries
Revolut Bank UAB,-309.00,Leisure_Outings
RURBAN FRESH via Stripe Technology Europe Ltd,-16.24,Food & Drinks_Groceries
NS GROEP IZ NS REIZIGERS,-5.94,Transport_Public Transport
Split parking,-8.00,Leisure_Outings
Revolut Bank UAB,-26.00,Transport_Public Transport
Diversen,-3.65,Others_Withdrawals & Bank charges
RVO.NL,41.66,Reimbursement_Reimbursement
VITENS NV,-20.00,Home_Utilities
Geldautomaat,-104.95,Leisure_Outings
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
Taxi to airport,-70.00,Leisure_Outings
schipol parking,-9.20,Leisure_Outings
Diversen,-0.42,Transport_Parking
travel back pack,-39.99,Shopping_Clothes & Accessories
Diversen,-16.95,Transport_Car
new yorker,-42.96,Shopping_Clothes & Accessories
BUDGET MOBIEL,-12.50,Multimedia_Telephone
BUDGET MOBIEL,-9.00,Multimedia_Telephone
Centrale Salarisadministratie,49.61,Salary_Salary
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
VVE Aquarel 2,-177.59,Home_Services
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
OHRA Schadeverzekeringen,-20.95,Home_Insurance & Fees
FLORIUS,-1778.13,Home_Mortgage
BUDGET ENERGIE,-60.00,Home_Utilities
DIRECTLEASE BV,-505.99,Transport_Car
Groei groter rekening K98100562,60.00,Transfers_Transfers
BCK*Barada Restaurant,-18.98,Exclude_Exclude
Kruidvat 7544,-0.20,Food & Drinks_Groceries
Creditcard,-53.04,Shopping_Clothes & Accessories
Oranje spaarrekening K58675097,-353.00,Exclude_Exclude
Creditcard,-75.92,Shopping_Clothes & Accessories
Oranje spaarrekening V99681971,51.96,Exclude_Exclude
Creditcard,-49.61,Others_Business expense
Creditcard,-51.96,Exclude_Exclude
Creditcard,-170.39,Leisure_Outings
BUDGET ENERGIE,353.08,Benefits_Benefits
Revolut Bank UAB,-889.00,Finances_Loans
Madurodam tickets,-60.00,Leisure_Outings
NYA*Madurodam B.V.,-0.20,Leisure_Outings
STICHTING GO,-77.86,Family_Day care
TAF BV,-12.37,Home_Insurance & Fees
ODIDO NETHERLANDS B.V.,-47.28,Multimedia_Internet
Tripper B.V.,-17.50,Transport_Car
Oranje spaarrekening K58675097,207.31,Exclude_Exclude
Oranje spaarrekening V99681971,10.00,Exclude_Exclude
Oranje spaarrekening K58675097,500.00,Exclude_Exclude
castle de haar and krishna vilas,-155.38,Leisure_Outings
charger on temu,-10.08,Shopping_Electronics
Uzma needs to pay for moms purse,-20.00,Shopping_Clothes & Accessories
sun screen and more,-21.85,Wellbeing & Beauty_Daily care
Geldautomaat,-10.00,Others_Withdrawals & Bank charges
ice and friets at beverwijk,-15.50,Leisure_Outings
Geldautomaat,-4.50,Others_Withdrawals & Bank charges
C&M*Hen en Co,-10.00,Shopping_Clothes & Accessories
C&M*Hen en Co,-10.00,Finances_Loans
Stichting Exploitatie Kasteel de Ha via Stichting Mollie Payments,-35.00,Leisure_Outings
Oranje spaarrekening L98105976,19.65,Exclude_Exclude
Creditcard,-19.65,Leisure_Outings
Vattenfall Klantenservice N.V.,135.54,Exclude_Exclude
Albert Heijn Fr.8642,-21.07,Food & Drinks_Groceries
Oranje spaarrekening K58675097,-500.00,Exclude_Exclude
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-250.00,Food & Drinks_Groceries
Oranje spaarrekening L98105976,-79.00,Exclude_Exclude
Groei groter rekening K98100562,-100.00,Exclude_Exclude
Centrale Salarisadministratie,6442.60,Salary_Salary
Groei groter rekening K98100562,69.19,Transfers_Transfers
Oranje spaarrekening K58675097,665.14,Exclude_Exclude
Oranje spaarrekening V99681971,47.19,Exclude_Exclude
Creditcard,-19.96,Leisure_Outings
Creditcard,-46.23,Shopping_Clothes & Accessories
Bonnet,-40.27,Transport_Car
Grocery ,-73.85,Food & Drinks_Groceries
Family outing,-225.57,Leisure_Outings
Thanveet shopping,-123.11,Shopping_Clothes & Accessories
to india,-47.19,Finances_Loans
Uzma shopping,-88.03,Shopping_Clothes & Accessories
Etos sun screen,-13.96,Wellbeing & Beauty_Daily care
Toys,-22.96,Family_Toys
action,-11.20,House & Garden_Fitment
Creditcard,-3.36,Finances_Credit card
Albert Heijn Fr.8642,-1.05,Food & Drinks_Groceries
AAB INZ TIKKIE,78.00,Exclude_Exclude
Albert Heijn Fr.8642,-6.12,Food & Drinks_Groceries
AAB INZ TIKKIE,44.50,Exclude_Exclude
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
Texaco Breezanddijk,-3.05,Food & Drinks_Coffee & Lunch
Texaco Breezanddijk,-3.05,Food & Drinks_Coffee & Lunch
Albert Heijn Fr.8642,-13.55,Leisure_Outings
Oranje spaarrekening V99681971,-11.00,Exclude_Exclude
Batavia stad,-3.00,Transport_Parking
Albert Heijn 8642,-19.16,Food & Drinks_Groceries
Oranje spaarrekening K58675097,100.00,Exclude_Exclude
Barada,-78.00,Exclude_Exclude
Barada,-44.50,Exclude_Exclude
Barada,-78.84,Food & Drinks_Restaurants
Esso Almere Markerkant,-40.64,Leisure_Outings
Cap for uzma,-12.00,Shopping_Clothes & Accessories
Zaanse Schans-De Dijk toilet,-1.00,Leisure_Outings
Kooijman Souv&Gifts,-10.00,Shopping_Gifts
Albert Heijn Fr.8642,-3.99,Food & Drinks_Groceries
Oranje spaarrekening V99681971,16.00,Exclude_Exclude
Groei groter rekening K98100562,11.00,Transfers_Transfers
hoody,-11.00,Shopping_Clothes & Accessories
gifts dad boight from primark,-25.00,Shopping_Gifts
shopping in primark,-14.50,Shopping_Clothes & Accessories
jackets for dads,-50.00,Shopping_Clothes & Accessories
Creditcard,-24.63,Food & Drinks_Groceries
fridge mangnets from ams,-10.00,Finances_Loans
dinner at wok,-62.95,Leisure_Outings
train tickets ,-27.00,Leisure_Outings
Albert Heijn 8591,-3.70,Food & Drinks_Groceries
ALBERT HEIJN 5606,-5.20,Food & Drinks_Groceries
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
Albert Heijn Fr.8642,-13.44,Food & Drinks_Groceries
Oranje spaarrekening V99681971,20.00,Exclude_Exclude
Tikkie,-20.80,Finances_Loans
RVO.NL,41.66,Reimbursement_Reimbursement
Diversen,-3.65,Others_Withdrawals & Bank charges
NS GROEP IZ NS REIZIGERS,-7.82,Transport_Public Transport
Oranje spaarrekening K58675097,128.36,Exclude_Exclude
Given to dad,-13.62,Finances_Loans
Creditcard,-17.74,Transport_Car
Snap car for zaanse schans,-36.04,Leisure_Outings
Paid for action shopping,-53.55,Finances_Loans
ruha baby binoculars ,-2.99,Shopping_Gifts
Creditcard,-4.42,Leisure_Outings
Albert Heijn Fr.8642,-14.95,Food & Drinks_Groceries
Infomedics B.V.,-27.96,Wellbeing & Beauty_Care & Pharmacy
Oranje spaarrekening K58675097,50.00,Exclude_Exclude
Pantropica,-98.50,Leisure_Outings
Oranje spaarrekening K58675097,98.50,Exclude_Exclude
Multi Versshop,-31.25,Food & Drinks_Groceries
bewerjik rental,-104.45,Leisure_Outings
Car remtal,-555.07,Leisure_Outings
Action,-12.04,House & Garden_Equipment
Oranje spaarrekening K58675097,671.56,Exclude_Exclude
VITENS NV,-20.00,Food & Drinks_Restaurants
Little India Amsterdam,-90.85,Food & Drinks_Groceries
Oranje spaarrekening K58675097,50.00,Exclude_Exclude
Belgium and paris,-668.41,Leisure_Outings
Oranje spaarrekening K58675097,668.41,Exclude_Exclude
Bonnet,-9.21,Transport_Car
dirk,-9.99,Food & Drinks_Groceries
"Cap, sock and mifi cup",-22.98,Shopping_Clothes & Accessories
Groei groter rekening K98100562,22.98,Transfers_Transfers
BCK*Barada Restaurant,-73.96,Food & Drinks_Restaurants
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
Madurodam car booking,-94.12,Leisure_Outings
BELLICIOUS,-5.20,Food & Drinks_Snacks
Stichting Pay.nl,25.00,Reimbursement_Reimbursement
Pharmacie,-7.87,Wellbeing & Beauty_Care & Pharmacy
2TL ANTWERPEN  CENTRA,-1.00,Food & Drinks_Groceries
2TL ANTWERPEN  CENTRA,-1.00,Food & Drinks_Groceries
BCK*BakkerijSoussie,-4.50,Food & Drinks_Snacks
Action 1194,-18.81,House & Garden_Equipment
Oranje spaarrekening L10022239,-3376.00,Exclude_Exclude
BUDGET MOBIEL,-9.00,Multimedia_Telephone
BUDGET MOBIEL,-12.50,Multimedia_Telephone
BELASTINGDIENST,3376.00,Reimbursement_Reimbursement
Oranje spaarrekening V99681971,63.00,Exclude_Exclude
Creditcard,-6.00,Transport_Parking
Creditcard,-49.79,Transport_Car
Oranje spaarrekening K58675097,58.00,Exclude_Exclude
selfie stick,-34.98,Shopping_Electronics
Creditcard,-20.00,Multimedia_Telephone
nike shoes for exchange,-63.00,Finances_Loans
Creditcard,-58.33,Shopping_Clothes & Accessories
Train museum ,-19.50,Leisure_Outings
VVE Aquarel 2,-177.59,Home_Utilities
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
DIRECTLEASE BV,-505.99,Transport_Car
FLORIUS,-1778.13,Home_Mortgage
BUDGET ENERGIE,-75.00,Home_Utilities
Giethoorn boat booking ,-72.95,Leisure_Outings
Groei groter rekening K98100562,17.80,Transfers_Transfers
STICHTING GO,-77.86,Family_Day care
Albert Heijn 8591,-6.98,Food & Drinks_Groceries
Paid by me,-16.00,Shopping_Gifts
Oranje spaarrekening V99681971,-714.00,Exclude_Exclude
Revolut Bank UAB,-75.00,Finances_Loans
Revolut Bank UAB,-296.00,Leisure_Accommodation
Creditcard,-17.80,Shopping_Clothes & Accessories
Creditcard,-113.50,Finances_Loans
Geldautomaat,-300.00,Finances_Loans
BOLCOM BV,19.69,Transfers_Transfers
TAF BV,-12.37,Home_Insurance & Fees
ODIDO NETHERLANDS B.V.,-47.28,Multimedia_Internet
Vattenfall Customers   Solutions Netherlands NV,-34.98,Transport_Car
"Waterschap Amstel, Gooi en Vecht",-205.66,Home_Taxes
BCK*Opladen OVChipkaa,-10.00,Transport_Public Transport
BCK*Opladen OVChipkaa,-10.00,Transport_Public Transport
BCK*Opladen OVChipkaa,-10.00,Transport_Public Transport
Action 1194,-1.79,House & Garden_Equipment
Keukenhof TicketCounter B.V. by Buckaroo Stichting Derdengelden,-27.50,Leisure_Outings
Krukenhof,-42.50,Leisure_Outings
Revolut Payments UAB,-450.00,Food & Drinks_Restaurants
Groei groter rekening K98100562,-100.00,Exclude_Exclude
Steamer and curtains,-57.99,House & Garden_Fitment
Creditcard fees,-19.80,Finances_Credit card
Creditcard,-15.24,Food & Drinks_Groceries
Creditcard,-41.65,House & Garden_Fitment
Amstel park,-5.20,Leisure_Outings
Nose spray,-3.79,Wellbeing & Beauty_Care & Pharmacy
Creditcard,-18.55,Transport_Parking
Creditcard,-11.16,Shopping_Clothes & Accessories
Creditcard,-41.91,Transport_Car
Centrale Salarisadministratie,6193.05,Salary_Salary
Albert Heijn Fr.8642,-15.49,Food & Drinks_Groceries
Albert Heijn Fr.8642,-8.50,Food & Drinks_Groceries
Prijsmepper 6182,-4.83,Shopping_Clothes & Accessories
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
dirk,-42.54,Food & Drinks_Groceries
ikeA,-164.66,House & Garden_Equipment
Oranje spaarrekening K58675097,140.00,Exclude_Exclude
Oranje spaarrekening K58675097,164.66,Exclude_Exclude
Oranje spaarrekening L98105976,42.54,Exclude_Exclude
Groei groter rekening K98100562,83.00,Transfers_Transfers
Creditcard,-83.00,Shopping_Clothes & Accessories
ikea,-140.12,House & Garden_Equipment
IKEA Amsterdam,-14.17,Food & Drinks_Coffee & Lunch
Albert Heijn Fr.8642,-14.84,Food & Drinks_Groceries
Groei groter rekening K98100562,19.69,Transfers_Transfers
